employee_id,department,job_level,tenure_months,training_hours,manager_support,work_life_balance,engagement_score,performance_rating
EMP_0221,Customer Support,Individual Contributor,13,23,4.3,2.9,8.9,4.0
EMP_0222,Engineering,Individual Contributor,17,59,3.8,3.1,7.2,4.6
EMP_0223,Marketing,Senior,19,78,4.8,3.4,6.9,4.8
EMP_0224,Legal,Individual Contributor,17,17,3.0,2.9,6.8,4.4
EMP_0225,Customer Support,Senior,31,35,3.2,3.2,8.2,3.6
EMP_0226,HR,Individual Contributor,45,44,3.4,4.2,6.9,4.9
EMP_0227,Engineering,Senior,46,50,3.0,3.6,8.1,4.4
EMP_0228,Operations,Senior,32,44,3.9,2.6,6.9,4.8
EMP_0229,Operations,Individual Contributor,15,28,4.8,2.8,8.7,4.3
EMP_0230,Marketing,Senior,20,64,3.4,3.1,5.6,4.5
EMP_0231,IT,Individual Contributor,13,49,4.7,2.9,7.9,4.5
EMP_0232,Sales,Individual Contributor,31,21,4.7,3.3,6.9,3.6
EMP_0233,Research,Individual Contributor,18,57,3.1,4.1,6.8,4.3
EMP_0234,Sales,Individual Contributor,26,41,2.7,2.7,2.8,3.5
EMP_0235,Customer Support,Individual Contributor,25,29,4.2,4.0,7.6,4.6
EMP_0236,Marketing,Director,30,43,3.0,2.3,5.0,4.8
EMP_0237,Sales,Senior,6,38,3.4,4.4,6.5,4.3
EMP_0238,Engineering,Senior,10,49,4.9,4.6,6.3,5.0
EMP_0239,Finance,Individual Contributor,34,53,3.4,2.7,5.7,4.4
EMP_0240,HR,Senior,22,32,3.1,4.1,5.5,4.5
EMP_0241,Research,Senior,55,43,3.8,3.7,8.8,4.7
EMP_0242,IT,Individual Contributor,30,59,4.6,3.4,7.7,4.8
EMP_0243,Engineering,Individual Contributor,41,47,2.0,4.4,6.5,4.4
EMP_0244,IT,Lead,22,67,3.3,3.4,4.7,4.7
EMP_0245,Customer Support,Individual Contributor,59,10,4.8,3.2,8.7,4.6
EMP_0246,Sales,Senior,27,50,4.3,3.2,6.7,4.7
EMP_0247,Marketing,Senior,38,54,4.1,3.0,7.9,4.3
EMP_0248,Engineering,Individual Contributor,29,14,3.1,3.2,6.0,4.1
EMP_0249,Customer Support,Senior,20,41,2.9,3.2,4.2,3.1
EMP_0250,IT,Individual Contributor,27,53,3.7,3.0,6.0,4.7
EMP_0251,HR,Individual Contributor,32,41,1.9,3.5,4.2,3.6
EMP_0252,Customer Support,Individual Contributor,23,36,3.7,3.9,7.7,4.3
EMP_0253,Customer Support,Individual Contributor,40,6,2.8,1.7,4.3,3.5
EMP_0254,Legal,Senior,29,60,2.3,3.8,4.8,3.9
EMP_0255,IT,Individual Contributor,24,40,3.0,3.0,6.5,4.2
EMP_0256,Operations,Individual Contributor,20,40,3.9,3.0,6.3,3.5
EMP_0257,Sales,Manager,26,55,2.8,3.1,6.0,3.8
EMP_0258,Operations,Lead,36,36,4.7,3.4,8.8,4.8
EMP_0259,Customer Support,Lead,8,55,4.6,3.3,8.3,4.9
EMP_0260,Finance,Senior,24,38,3.7,2.8,7.4,4.9
EMP_0261,Operations,Individual Contributor,21,28,4.1,3.0,7.9,4.0
EMP_0262,Engineering,Individual Contributor,33,29,3.7,3.3,7.3,4.0
EMP_0263,Research,Senior,40,71,2.9,2.6,3.2,4.6
EMP_0264,Research,Individual Contributor,33,53,2.9,3.3,6.4,4.5
EMP_0265,Legal,Lead,70,33,3.9,2.8,6.0,4.9
EMP_0266,Finance,Individual Contributor,36,68,2.6,1.8,4.8,4.0
EMP_0267,IT,Individual Contributor,17,36,2.4,4.2,4.7,3.7
EMP_0268,Finance,Manager,36,50,2.3,3.0,2.9,4.3
EMP_0269,Engineering,Individual Contributor,19,51,4.3,3.4,7.9,4.4
EMP_0270,Customer Support,Individual Contributor,16,40,4.9,3.7,8.0,4.5
EMP_0271,Operations,Individual Contributor,25,13,3.6,4.5,6.3,4.0
EMP_0272,Engineering,Individual Contributor,18,50,2.4,3.3,6.4,3.9
EMP_0273,Operations,Senior,34,49,4.5,2.9,6.9,4.1
EMP_0274,Marketing,Individual Contributor,54,55,3.5,3.8,6.8,4.6
EMP_0275,Customer Support,Individual Contributor,7,48,2.6,4.0,6.4,3.9
EMP_0276,Operations,Individual Contributor,6,35,3.0,3.1,4.0,3.9
EMP_0277,Sales,Lead,31,40,3.3,3.3,6.4,4.5
EMP_0278,Operations,Senior,45,39,4.9,4.1,7.6,5.0
EMP_0279,Operations,Individual Contributor,12,47,3.2,4.2,8.0,4.5
EMP_0280,Finance,Individual Contributor,39,33,2.4,2.8,3.5,3.7
EMP_0281,Marketing,Senior,23,73,3.7,3.7,5.6,4.9
EMP_0282,Marketing,Senior,45,45,3.7,3.9,5.9,4.5
EMP_0283,Engineering,Senior,28,40,3.2,2.4,3.4,3.5
EMP_0284,Engineering,Senior,52,54,4.7,3.0,7.4,4.8
EMP_0285,Sales,Individual Contributor,20,25,3.7,2.8,6.5,4.0
EMP_0286,Engineering,Manager,30,41,4.1,3.3,5.7,5.0
EMP_0287,Engineering,Individual Contributor,10,60,4.8,2.6,6.5,4.0
EMP_0288,Sales,Lead,24,31,3.9,2.3,6.0,5.0
EMP_0289,Sales,Individual Contributor,33,38,3.1,3.6,6.2,3.9
EMP_0290,Sales,Individual Contributor,10,59,3.4,2.5,5.2,3.7
EMP_0291,IT,Individual Contributor,35,55,4.0,1.5,5.2,4.2
EMP_0292,Engineering,Individual Contributor,5,47,4.0,2.6,7.3,4.0
EMP_0293,Sales,Individual Contributor,2,36,4.8,4.0,9.8,4.6
EMP_0294,Sales,Individual Contributor,9,46,3.4,4.1,5.3,3.8
EMP_0295,HR,Individual Contributor,19,41,4.0,3.7,6.9,4.4
EMP_0296,Engineering,Individual Contributor,26,54,4.4,4.3,9.3,4.6
EMP_0297,IT,Lead,37,57,3.0,3.8,4.0,4.9
EMP_0298,Finance,Individual Contributor,28,44,3.8,3.9,7.6,4.6
EMP_0299,Engineering,Senior,13,58,2.7,3.5,6.1,4.6
EMP_0300,Engineering,Senior,10,45,3.9,2.4,4.8,3.3
EMP_0301,Sales,Lead,50,54,3.2,2.7,5.0,4.7
EMP_0302,Customer Support,Individual Contributor,25,19,2.7,2.5,4.8,3.5
EMP_0303,Finance,Lead,30,27,2.4,4.3,5.2,4.6
EMP_0304,IT,Individual Contributor,28,44,2.8,2.6,5.3,4.3
EMP_0305,Marketing,Individual Contributor,29,38,2.1,4.6,6.7,3.8
EMP_0306,Marketing,Individual Contributor,49,41,3.6,3.8,7.9,4.6
EMP_0307,Marketing,Individual Contributor,12,37,4.5,2.9,6.8,4.1
EMP_0308,Sales,Individual Contributor,20,43,4.6,2.9,5.9,3.8
EMP_0309,Marketing,Individual Contributor,39,42,3.0,4.0,7.6,4.7
EMP_0310,Operations,Individual Contributor,42,24,4.0,3.3,8.1,4.5
EMP_0311,Finance,Individual Contributor,39,44,2.7,3.1,7.8,4.8
EMP_0312,Sales,Senior,6,41,2.6,3.8,6.7,3.8
EMP_0313,Marketing,Manager,40,64,3.9,3.2,7.0,4.7
EMP_0314,IT,Senior,20,61,3.8,3.9,7.6,4.9
EMP_0315,Engineering,Individual Contributor,16,48,1.6,2.9,5.0,4.6
EMP_0316,Engineering,Lead,20,58,4.1,2.5,7.1,4.9
EMP_0317,Marketing,Senior,31,35,3.2,3.9,6.6,3.4
EMP_0318,Operations,Individual Contributor,34,10,4.0,2.8,8.6,4.0
EMP_0319,IT,Individual Contributor,19,40,3.1,4.2,9.6,4.5
EMP_0320,Engineering,Individual Contributor,26,52,4.4,3.3,7.5,4.5
EMP_0321,Engineering,Manager,49,27,3.7,3.1,7.9,4.3
EMP_0322,Finance,Individual Contributor,32,39,3.8,1.9,5.8,4.1
EMP_0323,Operations,Senior,30,43,3.8,4.0,6.5,4.7
EMP_0324,Operations,Lead,33,26,2.2,3.1,5.6,4.2
EMP_0325,Engineering,Individual Contributor,37,45,3.4,2.7,5.7,4.1
EMP_0326,HR,Senior,18,45,3.7,4.2,9.9,5.0
EMP_0327,Finance,Individual Contributor,34,37,3.7,3.6,5.4,4.1
EMP_0328,Customer Support,Individual Contributor,32,26,3.6,3.5,5.1,3.5
EMP_0329,Engineering,Individual Contributor,23,26,1.9,4.0,4.8,3.6
EMP_0330,Sales,Lead,23,69,3.0,3.0,6.9,4.9
EMP_0331,Sales,Senior,15,58,3.4,3.1,4.7,3.6
EMP_0332,Engineering,Individual Contributor,35,44,3.3,3.8,7.9,4.1
EMP_0333,Sales,Individual Contributor,25,21,4.0,3.7,9.2,3.8
EMP_0334,Marketing,Individual Contributor,8,41,3.0,2.9,7.0,3.7
EMP_0335,Marketing,Individual Contributor,18,51,3.4,3.6,4.6,3.9
EMP_0336,Operations,Individual Contributor,6,23,4.4,2.6,7.0,3.8
EMP_0337,Finance,Individual Contributor,25,55,1.9,3.0,6.3,4.0
EMP_0338,Sales,Senior,43,23,3.3,2.9,6.5,4.9
EMP_0339,Marketing,Senior,20,55,2.8,3.2,5.3,4.9
EMP_0340,Marketing,Individual Contributor,28,33,2.5,2.7,3.8,3.2
EMP_0341,Engineering,Individual Contributor,40,46,3.5,2.6,7.6,4.6
EMP_0342,Operations,Individual Contributor,9,48,3.6,2.4,5.6,3.7
EMP_0343,Research,Individual Contributor,18,73,4.2,3.8,7.9,4.7
EMP_0344,HR,Senior,39,51,2.3,3.5,6.1,4.4
EMP_0345,Operations,Individual Contributor,8,51,2.8,2.6,3.8,3.1
EMP_0346,Finance,Individual Contributor,38,40,2.8,3.8,7.3,4.7
EMP_0347,Operations,Individual Contributor,18,35,4.9,3.9,6.1,3.5
EMP_0348,Sales,Individual Contributor,21,56,3.5,3.1,4.7,4.0
EMP_0349,Engineering,Senior,42,49,4.0,4.6,7.4,4.8
EMP_0350,Marketing,Individual Contributor,18,52,3.6,3.3,7.5,4.2
EMP_0351,Marketing,Individual Contributor,41,39,2.7,3.7,6.7,3.9
EMP_0352,HR,Lead,52,68,3.0,4.8,5.6,4.5
EMP_0353,IT,Individual Contributor,14,67,3.8,2.4,5.8,4.5
EMP_0354,Operations,Senior,13,59,4.1,3.1,9.0,4.6
EMP_0355,HR,Individual Contributor,57,47,3.7,3.1,7.8,4.6
EMP_0356,Engineering,Individual Contributor,16,23,3.6,3.4,7.7,4.7
EMP_0357,IT,Senior,11,70,2.8,3.8,7.0,4.6
EMP_0358,Finance,Individual Contributor,36,34,3.4,3.6,6.3,4.1
EMP_0359,Engineering,Individual Contributor,28,56,3.1,2.4,6.3,4.5
EMP_0360,HR,Lead,24,45,2.6,3.5,5.3,4.7
EMP_0361,Sales,Individual Contributor,27,38,3.2,4.1,6.5,4.8
EMP_0362,IT,Individual Contributor,28,34,3.8,3.1,7.1,3.8
EMP_0363,Engineering,Individual Contributor,17,62,2.9,3.8,5.8,4.3
EMP_0364,HR,Senior,41,50,3.1,3.2,3.6,4.1
EMP_0365,Marketing,Individual Contributor,29,56,4.3,3.6,8.4,4.7
EMP_0366,Finance,Lead,30,67,3.8,2.8,4.8,4.6
EMP_0367,Operations,Lead,32,57,3.6,2.9,8.5,4.3
EMP_0368,Marketing,Individual Contributor,23,22,4.0,4.3,7.0,4.6
