employee_id,hire_date,termination_date,department,job_level,termination_reason
EMP0038,05/03/2022,09/05/2024,Customer Support,Lead,Layoff
EMP0039,10/17/2023,11/23/2023,Operations,Lead,Voluntary
EMP0040,08/05/2023,,HR,Individual Contributor,
EMP0041,09/22/2020,,Finance,Individual Contributor,
EMP0042,07/11/2024,05/25/2025,Sales,Individual Contributor,Voluntary
EMP0043,08/03/2025,,Customer Support,Individual Contributor,
EMP0044,12/08/2021,04/28/2022,Product Development,Individual Contributor,Voluntary
EMP0045,07/28/2021,06/05/2022,Sales,Individual Contributor,Voluntary
EMP0046,02/03/2021,12/25/2022,Sales,Lead,Voluntary
EMP0047,04/26/2025,,Operations,Lead,
EMP0048,01/09/2022,08/14/2022,HR,Lead,Layoff
EMP0049,07/05/2025,,Finance,Manager,
EMP0050,03/14/2023,07/26/2023,Finance,Manager,Involuntary
EMP0051,03/07/2020,10/21/2022,Finance,Senior,Involuntary
EMP0052,02/28/2021,,Finance,Senior,
EMP0053,08/16/2021,,Engineering,Senior,
EMP0054,04/14/2022,03/10/2023,Customer Support,Senior,Voluntary
EMP0055,11/17/2024,,Finance,Director,
EMP0056,11/14/2022,01/06/2024,Marketing,Manager,Voluntary
EMP0057,01/26/2022,12/25/2023,HR,Individual Contributor,Voluntary
EMP0058,08/18/2021,10/02/2021,Operations,Senior,Voluntary
EMP0059,03/06/2020,10/26/2021,Operations,Individual Contributor,Involuntary
EMP0060,09/24/2020,02/11/2021,Customer Support,Individual Contributor,Voluntary
EMP0061,12/04/2021,01/25/2022,Sales,Senior,Involuntary
EMP0062,08/11/2023,,Customer Support,Lead,
EMP0063,01/11/2023,,Customer Support,Lead,
EMP0064,06/23/2022,10/27/2022,Operations,Lead,Voluntary
EMP0065,12/02/2024,04/09/2025,Operations,Individual Contributor,Involuntary
EMP0066,09/28/2023,,Sales,Senior,
EMP0067,08/19/2022,,Marketing,Individual Contributor,
EMP0068,09/01/2020,07/22/2022,Product Development,Lead,Involuntary
EMP0069,09/15/2021,02/07/2022,Customer Support,Lead,Voluntary
EMP0070,08/02/2021,09/20/2021,Marketing,Senior,Voluntary
EMP0071,12/08/2023,,Operations,Individual Contributor,
EMP0072,08/11/2021,,Operations,Individual Contributor,
EMP0073,03/15/2021,07/23/2021,Product Development,Lead,
EMP0074,05/25/2021,01/20/2023,Marketing,Individual Contributor,Voluntary
EMP0075,01/01/2021,11/21/2021,Sales,Individual Contributor,Voluntary
EMP0076,01/08/2022,08/30/2022,Marketing,Individual Contributor,Involuntary
EMP0077,02/13/2021,09/20/2023,Operations,Lead,Voluntary
EMP0078,07/01/2024,08/28/2024,Engineering,Manager,Voluntary
EMP0079,03/23/2022,08/13/2022,Sales,Lead,Voluntary
EMP0080,03/02/2023,,Engineering,Lead,
EMP0081,02/19/2023,,Finance,Lead,
EMP0082,10/03/2021,11/16/2023,Sales,Senior,Voluntary
EMP0083,10/04/2020,12/02/2020,Finance,Senior,Involuntary
EMP0084,09/09/2022,01/29/2024,Marketing,Manager,Voluntary
EMP0085,08/07/2022,03/17/2025,Marketing,Lead,Voluntary
EMP0086,06/15/2022,11/07/2022,Sales,Individual Contributor,Voluntary
EMP0087,10/17/2021,,Engineering,Individual Contributor,
EMP0088,02/10/2024,,Sales,Senior,
EMP0089,10/25/2023,09/19/2024,Customer Support,Individual Contributor,Voluntary
EMP0090,07/22/2025,,Engineering,Individual Contributor,
EMP0091,09/19/2020,11/11/2022,Marketing,Senior,Voluntary
EMP0092,07/26/2024,12/10/2024,Sales,Senior,Involuntary
EMP0093,07/13/2023,02/22/2024,Engineering,Individual Contributor,Involuntary
EMP0094,11/03/2022,12/16/2022,HR,Individual Contributor,Voluntary
EMP0095,07/15/2020,11/21/2020,HR,Lead,
EMP0096,09/18/2020,04/18/2021,Finance,Director,Voluntary
EMP0097,03/26/2023,08/22/2023,Operations,Manager,Involuntary
EMP0098,12/07/2024,,HR,Lead,
EMP0099,10/14/2021,,Marketing,Individual Contributor,
EMP0100,07/09/2021,02/10/2023,HR,Individual Contributor,Voluntary
EMP0101,09/02/2024,,Finance,Individual Contributor,
EMP0102,12/16/2022,05/02/2023,Product Development,Senior,Voluntary
EMP0103,09/24/2022,,Finance,Senior,
EMP0104,02/11/2023,12/21/2023,Finance,Individual Contributor,Involuntary
EMP0105,06/07/2023,11/02/2023,Sales,Senior,Voluntary
EMP0106,01/13/2021,06/11/2021,Customer Support,Senior,Voluntary
EMP0107,11/22/2022,07/18/2023,Sales,Lead,Voluntary
EMP0108,01/18/2020,08/28/2021,Sales,Individual Contributor,Involuntary
EMP0109,05/14/2023,,HR,Senior,
EMP0110,12/12/2021,02/09/2022,Finance,Manager,Involuntary
EMP0111,09/05/2025,,Marketing,Individual Contributor,
EMP0112,08/02/2021,12/26/2021,HR,Senior,Voluntary
EMP0113,02/21/2021,01/18/2022,HR,Individual Contributor,Layoff
EMP0114,09/25/2022,10/31/2022,Sales,Senior,Voluntary
EMP0115,03/28/2022,05/19/2022,Finance,Individual Contributor,Involuntary
EMP0116,06/08/2021,01/29/2025,Operations,Individual Contributor,Involuntary
EMP0117,01/01/2024,02/13/2024,Operations,Individual Contributor,Voluntary
EMP0118,02/07/2021,12/18/2021,Sales,Director,
EMP0119,07/09/2024,08/17/2024,Engineering,Manager,Involuntary
EMP0120,09/15/2022,02/03/2023,HR,Senior,Involuntary
EMP0121,01/28/2022,06/18/2022,HR,Individual Contributor,Voluntary
EMP0122,03/23/2024,05/04/2025,Engineering,Individual Contributor,Voluntary
EMP0123,07/27/2021,06/10/2022,Sales,Lead,Voluntary
EMP0124,05/24/2025,,HR,Senior,
EMP0125,09/28/2023,11/13/2023,Marketing,Senior,Voluntary
EMP0126,06/02/2023,,Finance,Lead,
EMP0127,08/16/2020,10/02/2023,Marketing,Individual Contributor,Involuntary
EMP0128,07/12/2020,08/24/2020,Customer Support,Senior,
EMP0129,02/10/2020,09/23/2024,Engineering,Manager,Voluntary
EMP0130,08/27/2020,04/05/2021,HR,Director,Voluntary
EMP0131,08/25/2025,,Customer Support,Senior,
EMP0132,06/12/2022,11/10/2022,Finance,Individual Contributor,Involuntary
EMP0133,02/21/2023,03/28/2023,Finance,Individual Contributor,Involuntary
EMP0134,08/23/2021,04/09/2022,Sales,Lead,Involuntary
EMP0135,02/25/2023,,Operations,Manager,
EMP0136,09/21/2025,,Finance,Individual Contributor,
EMP0137,08/06/2020,12/20/2022,Sales,Individual Contributor,Voluntary
EMP0138,04/25/2023,03/06/2024,Marketing,Individual Contributor,Voluntary
EMP0139,06/21/2023,05/16/2024,Sales,Individual Contributor,Voluntary
EMP0140,07/15/2022,08/29/2024,Sales,Individual Contributor,Voluntary
EMP0141,02/14/2022,,Engineering,Individual Contributor,
EMP0142,09/10/2021,07/31/2023,Operations,Senior,Involuntary
EMP0143,02/25/2022,,Customer Support,Manager,
EMP0144,07/22/2022,09/05/2022,Marketing,Senior,Voluntary
EMP0145,05/25/2021,10/13/2023,HR,Senior,Voluntary
EMP0146,01/01/2020,02/21/2022,Operations,Senior,Voluntary
EMP0147,06/22/2021,,Sales,Director,
EMP0148,04/23/2022,,Operations,Individual Contributor,
EMP0149,04/21/2021,,Engineering,Lead,
EMP0150,03/09/2023,08/04/2023,Product Development,Director,Voluntary
EMP0151,07/22/2024,,Operations,Individual Contributor,
EMP0152,05/25/2022,10/15/2022,Product Development,Senior,Voluntary
EMP0153,09/28/2020,02/15/2023,Product Development,Senior,Voluntary
EMP0154,01/24/2025,,Sales,Individual Contributor,
EMP0155,03/19/2020,,Operations,Individual Contributor,
EMP0156,09/26/2021,08/11/2023,Marketing,Senior,Voluntary
EMP0157,02/04/2021,06/04/2024,Engineering,Individual Contributor,Involuntary
EMP0158,06/08/2023,05/01/2024,Finance,Individual Contributor,Involuntary
EMP0159,08/13/2022,10/05/2022,Marketing,Senior,Involuntary
EMP0160,01/20/2020,03/07/2023,HR,Manager,Involuntary
EMP0161,12/15/2021,05/14/2022,HR,Lead,Involuntary
EMP0162,01/18/2022,06/13/2022,Product Development,Senior,Voluntary
EMP0163,09/28/2023,02/13/2024,Engineering,Individual Contributor,Voluntary
EMP0164,05/25/2022,10/15/2023,Marketing,Individual Contributor,Involuntary
EMP0165,07/21/2021,03/09/2024,Engineering,Individual Contributor,Layoff
EMP0166,02/12/2022,03/12/2025,HR,Director,Voluntary
EMP0167,09/11/2022,,Operations,Director,
EMP0168,04/19/2021,11/25/2023,Operations,Individual Contributor,Voluntary
EMP0169,05/07/2021,12/22/2021,Product Development,Senior,Voluntary
EMP0170,09/28/2023,05/19/2024,Finance,Lead,Layoff
EMP0171,09/19/2021,02/10/2022,Sales,Individual Contributor,Voluntary
EMP0172,07/27/2021,,Customer Support,Senior,
EMP0173,11/19/2023,,Sales,Individual Contributor,
EMP0174,08/26/2024,10/02/2024,Customer Support,Senior,Voluntary
EMP0175,09/22/2023,02/15/2024,Customer Support,Manager,Voluntary
EMP0176,03/10/2020,07/22/2022,HR,Individual Contributor,Voluntary
EMP0177,02/04/2024,,Customer Support,Manager,
EMP0178,09/24/2021,,Customer Support,Senior,
EMP0179,03/28/2025,,Sales,Lead,
EMP0180,07/14/2022,02/21/2025,Operations,Senior,Voluntary
EMP0181,02/07/2023,03/14/2024,Finance,Individual Contributor,Voluntary
EMP0182,07/28/2024,12/22/2024,Operations,Individual Contributor,Voluntary
EMP0183,09/07/2021,,Engineering,Senior,
EMP0184,07/13/2021,,Customer Support,Individual Contributor,
EMP0185,04/28/2023,03/23/2024,Marketing,Senior,Involuntary
EMP0186,01/05/2024,,Sales,Senior,
EMP0187,06/21/2023,,Marketing,Individual Contributor,
EMP0188,06/26/2021,05/24/2023,Product Development,Individual Contributor,Voluntary
EMP0189,02/09/2020,09/11/2020,HR,Manager,
EMP0190,01/25/2021,12/18/2023,Operations,Manager,Voluntary
EMP0191,12/14/2021,04/21/2022,Operations,Manager,Voluntary
EMP0192,03/19/2024,,Sales,Individual Contributor,
EMP0193,03/15/2023,08/04/2023,Operations,Individual Contributor,Voluntary
EMP0194,03/14/2022,04/17/2023,HR,Manager,Voluntary
EMP0195,10/23/2022,,Operations,Manager,
EMP0196,09/24/2023,02/15/2024,Customer Support,Individual Contributor,Involuntary
EMP0197,02/19/2022,,Engineering,Director,
EMP0198,05/22/2021,03/29/2022,Marketing,Individual Contributor,Layoff
EMP0199,06/08/2021,01/15/2023,Marketing,Lead,Voluntary
EMP0200,05/10/2022,,Finance,Individual Contributor,
EMP0201,11/21/2022,10/20/2024,Finance,Individual Contributor,Involuntary
EMP0202,08/01/2021,12/18/2024,Marketing,Senior,Involuntary
EMP0203,02/02/2023,,Operations,Individual Contributor,
EMP0204,08/28/2023,07/06/2024,Finance,Manager,Voluntary
EMP0205,04/03/2021,05/30/2025,Engineering,Individual Contributor,Voluntary
EMP0206,03/06/2022,,Finance,Individual Contributor,
EMP0207,03/15/2021,08/09/2021,Finance,Individual Contributor,Voluntary
EMP0208,12/09/2022,,Operations,Lead,
EMP0209,09/13/2021,01/26/2022,Customer Support,Individual Contributor,Involuntary
EMP0210,04/28/2022,,Finance,Senior,
EMP0211,12/21/2021,11/11/2022,Marketing,Senior,Voluntary
EMP0212,06/26/2023,11/13/2023,Product Development,Director,Voluntary
EMP0213,07/26/2024,,Marketing,Senior,
EMP0214,07/19/2022,08/31/2024,Sales,Individual Contributor,Voluntary
EMP0215,03/05/2021,01/26/2022,Finance,Individual Contributor,Involuntary
EMP0216,08/21/2022,01/08/2024,Engineering,Lead,Voluntary
EMP0217,09/25/2020,02/06/2021,Finance,Lead,Involuntary
EMP0218,01/23/2023,05/26/2023,Operations,Individual Contributor,Voluntary
EMP0219,08/13/2022,01/10/2023,Marketing,Senior,Voluntary
EMP0220,02/28/2020,06/29/2020,Product Development,Individual Contributor,
EMP0221,03/08/2021,01/14/2022,Finance,Lead,Voluntary
EMP0222,01/19/2021,03/08/2023,Operations,Senior,Voluntary
EMP0223,03/04/2021,04/26/2021,Product Development,Individual Contributor,
EMP0224,09/11/2024,,Sales,Senior,
EMP0225,03/06/2020,02/03/2025,Sales,Lead,Voluntary
EMP0226,03/11/2020,07/15/2022,Operations,Director,Voluntary
EMP0227,06/18/2022,01/24/2023,Sales,Individual Contributor,Voluntary
EMP0228,08/09/2022,,Finance,Senior,
EMP0229,01/11/2022,06/01/2022,Operations,Senior,Voluntary
EMP0230,01/05/2023,02/07/2024,Customer Support,Manager,Voluntary
EMP0231,10/26/2023,,Marketing,Senior,
EMP0232,01/02/2020,,Engineering,Lead,
EMP0233,01/26/2022,,Finance,Senior,
EMP0234,08/11/2021,06/11/2024,Engineering,Lead,Voluntary
EMP0235,12/06/2024,,Engineering,Senior,
EMP0236,06/03/2021,04/03/2022,Sales,Director,Involuntary
EMP0237,03/06/2024,04/09/2024,Marketing,Senior,Voluntary
EMP0238,07/12/2025,,Marketing,Senior,
EMP0239,02/06/2024,,Marketing,Individual Contributor,
EMP0240,12/08/2025,,Finance,Manager,
EMP0241,03/01/2023,,HR,Senior,
EMP0242,04/02/2021,11/05/2022,Sales,Individual Contributor,Layoff
EMP0243,06/25/2025,,Finance,Senior,
EMP0244,01/03/2022,02/09/2022,Marketing,Individual Contributor,Involuntary
EMP0245,04/21/2025,,HR,Lead,
EMP0246,10/20/2024,11/29/2024,Marketing,Individual Contributor,Voluntary
EMP0247,02/02/2020,06/15/2025,Sales,Individual Contributor,Voluntary
EMP0248,09/04/2020,11/02/2022,Finance,Lead,Voluntary
EMP0249,07/05/2022,05/24/2023,Marketing,Manager,Voluntary
EMP0250,03/19/2021,,Marketing,Lead,
EMP0251,03/09/2020,,Engineering,Individual Contributor,
EMP0252,04/20/2021,09/05/2021,HR,Senior,Voluntary
EMP0253,06/04/2021,04/23/2022,Marketing,Individual Contributor,Involuntary
EMP0254,05/04/2025,,Finance,Lead,
EMP0255,12/19/2022,11/03/2023,Operations,Individual Contributor,Voluntary
EMP0256,02/04/2024,,Customer Support,Senior,
EMP0257,11/18/2023,10/08/2024,Marketing,Individual Contributor,Voluntary
EMP0258,05/28/2024,10/24/2024,Sales,Individual Contributor,Voluntary
EMP0259,04/02/2023,,HR,Individual Contributor,
EMP0260,05/25/2021,07/24/2021,Finance,Director,
EMP0261,12/09/2022,,Engineering,Individual Contributor,
EMP0262,02/15/2022,12/17/2023,Operations,Senior,Involuntary
EMP0263,03/04/2022,07/07/2022,Sales,Individual Contributor,Voluntary
EMP0264,03/19/2022,10/22/2023,Customer Support,Senior,Layoff
EMP0265,10/10/2021,09/03/2023,HR,Lead,Voluntary
EMP0266,12/28/2022,01/28/2025,Marketing,Individual Contributor,Voluntary
EMP0267,09/26/2022,,Customer Support,Senior,
EMP0268,01/06/2020,06/01/2021,Finance,Individual Contributor,Voluntary
EMP0269,06/18/2023,01/19/2024,Customer Support,Individual Contributor,Voluntary
EMP0270,03/07/2020,04/28/2020,HR,Individual Contributor,
EMP0271,01/25/2023,12/04/2023,HR,Manager,Involuntary
EMP0272,02/05/2023,03/16/2023,HR,Individual Contributor,Voluntary
EMP0273,09/26/2021,,Operations,Manager,
EMP0274,06/25/2021,08/02/2021,Finance,Senior,Involuntary
EMP0275,06/13/2021,10/14/2021,Finance,Lead,Voluntary
EMP0276,01/11/2020,,Engineering,Manager,
EMP0277,07/13/2022,,Operations,Individual Contributor,
EMP0278,07/21/2022,,Operations,Manager,
EMP0279,06/21/2024,02/05/2025,Engineering,Individual Contributor,Involuntary
EMP0280,07/04/2021,08/06/2023,Customer Support,Individual Contributor,Voluntary
EMP0281,06/20/2021,07/30/2021,Marketing,Individual Contributor,Involuntary
EMP0282,08/02/2021,03/09/2022,Sales,Senior,Involuntary
EMP0283,09/26/2023,02/13/2024,HR,Lead,Voluntary
EMP0284,10/26/2021,,Operations,Lead,
EMP0285,07/26/2023,,Operations,Lead,
EMP0286,07/28/2021,,Finance,Individual Contributor,
EMP0287,01/18/2022,,Finance,Lead,
EMP0288,12/03/2024,,Finance,Individual Contributor,
EMP0289,03/22/2020,05/05/2021,Product Development,Lead,Voluntary
EMP0290,01/03/2022,,Finance,Senior,
EMP0291,06/22/2022,05/02/2023,Finance,Senior,Voluntary
EMP0292,11/21/2021,04/16/2022,Customer Support,Director,Voluntary
EMP0293,09/07/2022,07/22/2024,Sales,Senior,Involuntary
EMP0294,12/03/2023,,Operations,Senior,
EMP0295,04/22/2022,09/16/2022,Operations,Manager,Involuntary
EMP0296,08/11/2021,09/20/2023,Sales,Director,Voluntary
EMP0297,01/20/2023,,Marketing,Individual Contributor,
EMP0298,02/05/2020,03/27/2021,Marketing,Individual Contributor,
EMP0299,02/07/2021,09/29/2023,Marketing,Lead,Voluntary
EMP0300,06/14/2022,11/10/2022,Operations,Manager,Voluntary
EMP0301,05/23/2025,,Engineering,Individual Contributor,
EMP0302,02/25/2021,,Marketing,Individual Contributor,
EMP0303,05/08/2023,,Sales,Lead,
EMP0304,02/24/2021,,Operations,Individual Contributor,
EMP0305,07/20/2021,03/01/2022,Product Development,Individual Contributor,Voluntary
EMP0306,03/01/2021,07/26/2021,Product Development,Manager,Involuntary
EMP0307,09/13/2024,,Customer Support,Senior,
EMP0308,07/07/2022,02/23/2024,Marketing,Manager,Voluntary
EMP0309,01/20/2022,,Marketing,Individual Contributor,
EMP0310,02/17/2023,,Sales,Individual Contributor,
EMP0311,12/08/2020,01/24/2024,Sales,Individual Contributor,Involuntary
EMP0312,02/24/2021,04/01/2023,Customer Support,Individual Contributor,Voluntary
EMP0313,12/25/2021,08/15/2022,Product Development,Manager,Voluntary
EMP0314,02/24/2021,10/08/2021,Marketing,Individual Contributor,Voluntary
EMP0315,10/20/2022,09/10/2023,Sales,Manager,Voluntary
EMP0316,09/21/2024,,Customer Support,Manager,
EMP0317,09/25/2020,01/29/2021,Operations,Manager,Involuntary
EMP0318,11/28/2023,,Customer Support,Individual Contributor,
EMP0319,01/21/2023,06/02/2023,Operations,Individual Contributor,Voluntary
EMP0320,09/28/2022,05/23/2025,Finance,Individual Contributor,Voluntary
EMP0321,07/22/2020,12/08/2023,Operations,Senior,Voluntary
EMP0322,07/27/2020,05/31/2021,Operations,Individual Contributor,Voluntary
EMP0323,03/06/2024,,Finance,Individual Contributor,
EMP0324,06/11/2021,07/13/2021,Sales,Senior,
EMP0325,11/12/2023,,Engineering,Senior,
EMP0326,03/04/2021,07/19/2021,Operations,Individual Contributor,
EMP0327,08/03/2022,,Engineering,Individual Contributor,
EMP0328,09/13/2023,02/05/2024,Engineering,Individual Contributor,Voluntary
EMP0329,06/10/2023,01/12/2025,Engineering,Individual Contributor,Layoff
EMP0330,05/09/2025,,Operations,Lead,
EMP0331,02/22/2022,01/18/2023,HR,Senior,Voluntary
EMP0332,11/23/2020,01/20/2021,Customer Support,Individual Contributor,Involuntary
EMP0333,02/24/2023,01/18/2024,HR,Individual Contributor,Voluntary
EMP0334,01/11/2021,03/03/2021,Operations,Director,
EMP0335,10/12/2021,11/29/2021,Operations,Individual Contributor,Voluntary
EMP0336,09/16/2024,10/27/2024,Marketing,Individual Contributor,Voluntary
EMP0337,05/07/2022,07/02/2022,Marketing,Senior,Voluntary
EMP0338,02/23/2023,07/04/2023,Finance,Lead,Voluntary
EMP0339,09/05/2021,10/08/2021,HR,Individual Contributor,Voluntary
EMP0340,04/07/2021,06/03/2021,Finance,Individual Contributor,Voluntary
EMP0341,02/10/2022,,Operations,Manager,
EMP0342,03/07/2024,04/12/2024,Operations,Manager,Involuntary
EMP0343,07/18/2020,,HR,Senior,
EMP0344,01/11/2022,05/31/2022,HR,Senior,Voluntary
EMP0345,06/11/2021,,Operations,Individual Contributor,
EMP0346,01/10/2020,05/18/2022,Product Development,Individual Contributor,Voluntary
EMP0347,02/26/2022,04/19/2022,Product Development,Lead,Voluntary
EMP0348,08/04/2023,,Finance,Individual Contributor,
EMP0349,07/14/2020,,Operations,Individual Contributor,
EMP0350,07/07/2023,08/21/2023,HR,Manager,Voluntary
EMP0351,03/27/2022,04/29/2023,Sales,Senior,Voluntary
EMP0352,09/13/2020,07/23/2023,Customer Support,Individual Contributor,Voluntary
EMP0353,12/14/2024,,Finance,Individual Contributor,
EMP0354,08/06/2022,,Customer Support,Lead,
EMP0355,06/13/2021,07/31/2023,Customer Support,Senior,Voluntary
EMP0356,03/11/2020,04/21/2020,Marketing,Senior,
EMP0357,07/01/2021,,Operations,Senior,
EMP0358,09/14/2021,01/27/2024,Finance,Director,Voluntary
EMP0359,05/15/2021,01/10/2022,Customer Support,Senior,Voluntary
EMP0360,06/25/2021,11/14/2023,Operations,Lead,Voluntary
EMP0361,07/18/2020,,Marketing,Manager,
EMP0362,03/07/2021,10/16/2023,Customer Support,Director,Voluntary
EMP0363,01/23/2025,,Finance,Individual Contributor,
EMP0364,04/22/2022,05/28/2022,Marketing,Senior,Involuntary
EMP0365,10/26/2024,,Engineering,Lead,
EMP0366,09/06/2022,05/02/2023,Customer Support,Senior,Voluntary
EMP0367,08/09/2021,09/30/2021,Finance,Senior,Voluntary
EMP0368,08/15/2021,12/17/2021,Marketing,Lead,
EMP0369,04/06/2022,11/18/2023,Customer Support,Director,Voluntary
EMP0370,02/07/2021,03/12/2021,Product Development,Individual Contributor,Involuntary
EMP0371,11/14/2020,12/19/2022,Customer Support,Lead,Voluntary
EMP0372,01/28/2024,03/26/2024,Customer Support,Senior,Involuntary
EMP0373,06/08/2022,02/01/2023,Product Development,Individual Contributor,Layoff
EMP0374,12/07/2022,07/28/2023,Product Development,Senior,Voluntary
EMP0375,11/15/2022,,Finance,Individual Contributor,
EMP0376,03/28/2023,,Finance,Senior,
EMP0377,08/03/2020,12/14/2020,Customer Support,Manager,Involuntary
EMP0378,02/23/2025,,Customer Support,Senior,
EMP0379,04/11/2022,11/25/2023,Marketing,Lead,Voluntary
EMP0380,08/13/2021,,Engineering,Individual Contributor,
EMP0381,01/18/2022,,Sales,Individual Contributor,
EMP0382,02/23/2021,01/20/2024,Sales,Individual Contributor,Involuntary
EMP0383,03/17/2021,04/19/2021,Sales,Manager,Voluntary
EMP0384,08/13/2023,09/25/2023,Product Development,Individual Contributor,Voluntary
EMP0385,03/09/2022,04/19/2022,Marketing,Manager,Voluntary
EMP0386,05/05/2021,,Finance,Senior,
EMP0387,04/03/2023,,HR,Lead,
EMP0388,09/14/2021,,Sales,Individual Contributor,
EMP0389,04/23/2024,,Marketing,Individual Contributor,
EMP0390,08/22/2020,01/17/2024,Sales,Lead,Voluntary
EMP0391,10/21/2021,,Operations,Individual Contributor,
EMP0392,01/06/2024,,Engineering,Lead,
EMP0393,02/20/2021,09/27/2023,Marketing,Individual Contributor,Voluntary
EMP0394,05/21/2022,03/24/2024,Finance,Lead,Voluntary
EMP0395,03/16/2023,,Operations,Individual Contributor,
EMP0396,11/01/2023,09/27/2024,Sales,Lead,Voluntary
EMP0397,12/16/2020,01/17/2024,Engineering,Senior,Layoff
EMP0398,03/01/2023,,Operations,Lead,
EMP0399,03/17/2020,05/01/2020,Customer Support,Individual Contributor,Layoff
EMP0400,04/22/2022,,Marketing,Individual Contributor,
EMP0401,01/21/2023,06/08/2023,Sales,Individual Contributor,Involuntary
EMP0402,10/08/2021,02/11/2022,Product Development,Senior,Voluntary
EMP0403,12/21/2023,,Marketing,Lead,
EMP0404,05/12/2021,07/07/2023,Finance,Director,Voluntary
EMP0405,02/27/2020,07/19/2020,Product Development,Individual Contributor,Voluntary
EMP0406,04/15/2023,,Finance,Individual Contributor,
EMP0407,04/07/2022,,Operations,Senior,
EMP0408,06/13/2021,02/07/2022,Sales,Manager,Involuntary
EMP0409,01/09/2021,02/16/2021,Operations,Individual Contributor,
EMP0410,01/25/2024,,Engineering,Lead,
EMP0411,10/24/2022,12/10/2022,Product Development,Lead,Voluntary
EMP0412,02/14/2022,09/28/2023,Marketing,Individual Contributor,Involuntary
EMP0413,05/26/2024,,Sales,Manager,
EMP0414,09/17/2022,02/07/2025,Operations,Individual Contributor,Voluntary
EMP0415,07/07/2021,,HR,Senior,
EMP0416,08/21/2023,12/22/2023,Product Development,Director,Voluntary
EMP0417,10/28/2023,,Marketing,Individual Contributor,
EMP0418,01/04/2022,02/15/2022,HR,Lead,Voluntary
EMP0419,06/16/2021,,Operations,Senior,
EMP0420,12/14/2022,07/15/2023,Sales,Individual Contributor,Involuntary
EMP0421,06/07/2023,,Engineering,Individual Contributor,
EMP0422,06/25/2021,08/05/2023,Finance,Individual Contributor,Voluntary
EMP0423,04/07/2022,05/12/2024,Sales,Individual Contributor,Voluntary
EMP0424,04/06/2023,,Operations,Lead,
EMP0425,12/25/2021,01/26/2022,Sales,Individual Contributor,Involuntary
EMP0426,01/08/2020,,Engineering,Individual Contributor,
EMP0427,11/21/2021,01/07/2022,Sales,Senior,Voluntary
EMP0428,03/03/2020,04/30/2021,Product Development,Individual Contributor,Voluntary
EMP0429,11/24/2023,04/22/2024,HR,Lead,Voluntary
EMP0430,02/20/2022,07/07/2022,Customer Support,Individual Contributor,Involuntary
EMP0431,08/15/2023,01/12/2025,Finance,Senior,Voluntary
EMP0432,02/23/2025,,Operations,Lead,
EMP0433,07/21/2022,12/16/2022,Finance,Individual Contributor,Voluntary
EMP0434,05/20/2022,,Finance,Individual Contributor,
EMP0435,09/05/2023,01/08/2025,Sales,Individual Contributor,Voluntary
